Transaction_ID,Date,Drug_Name,Quantity,Unit_Price,Category,Unit_Cost
1001,2025-04-13,Insulin,6,23.51,Diabetes,16.46
1002,2025-12-15,Insulin,3,43.87,Diabetes,30.71
1003,2025-09-28,Panadol,2,11.74,Analgesics,8.22
1004,2025-04-17,Nexium,8,75.63,Gastrointestinal,52.94
1005,2025-03-13,Amoxicillin,5,52.18,Antibiotics,36.53
1006,2025-07-08,Amoxicillin,1,93.77,Antibiotics,65.64
1007,2025-01-21,Ventolin,3,51.61,Respiratory,36.13
1008,2025-04-13,Amoxicillin,8,51.99,Antibiotics,36.39
1009,2025-05-02,Lipitor,4,114.05,Cholesterol,79.83
1010,2025-08-03,Amoxicillin,7,16.74,Antibiotics,11.72
1011,2025-11-27,Ventolin,2,136.41,Respiratory,95.49
1012,2025-03-29,Amoxicillin,7,129.32,Antibiotics,90.52
1013,2025-04-10,Lipitor,5,103.49,Cholesterol,72.44
1014,2025-12-26,Panadol,5,93.05,Analgesics,65.13
1015,2025-06-01,Ventolin,6,134.92,Respiratory,94.44
1016,2025-05-11,Panadol,9,35.95,Analgesics,25.16
1017,2025-05-30,Panadol,6,21.06,Analgesics,14.74
1018,2025-11-05,Panadol,8,43.53,Analgesics,30.47
1019,2025-09-15,Insulin,7,121.24,Diabetes,84.87
1020,2025-12-10,Nexium,9,14.85,Gastrointestinal,10.4
1021,2025-10-21,Insulin,4,91.59,Diabetes,64.11
1022,2025-07-11,Nexium,2,149.36,Gastrointestinal,104.55
1023,2025-10-04,Panadol,7,129.8,Analgesics,90.86
1024,2025-06-10,Ventolin,6,83.0,Respiratory,58.1
1025,2025-11-10,Nexium,1,18.91,Gastrointestinal,13.24
1026,2025-01-22,Lipitor,9,126.39,Cholesterol,88.47
1027,2025-09-10,Lipitor,9,93.86,Cholesterol,65.7
1028,2025-08-24,Amoxicillin,2,26.09,Antibiotics,18.26
1029,2025-12-11,Nexium,3,23.14,Gastrointestinal,16.2
1030,2025-02-18,Ventolin,5,137.35,Respiratory,96.14
1031,2025-02-28,Insulin,5,103.69,Diabetes,72.58
1032,2025-06-19,Panadol,1,126.1,Analgesics,88.27
1033,2025-07-07,Amoxicillin,8,133.06,Antibiotics,93.14
1034,2025-09-28,Lipitor,8,90.05,Cholesterol,63.04
1035,2025-07-09,Insulin,4,82.44,Diabetes,57.71
1036,2025-06-24,Insulin,7,70.26,Diabetes,49.18
1037,2025-02-20,Panadol,3,54.37,Analgesics,38.06
1038,2025-12-30,Nexium,6,70.84,Gastrointestinal,49.59
1039,2025-02-24,Lipitor,9,118.34,Cholesterol,82.84
1040,2025-09-01,Ventolin,1,94.27,Respiratory,65.99
1041,2025-11-16,Insulin,5,134.95,Diabetes,94.46
1042,2025-05-11,Panadol,4,72.07,Analgesics,50.45
1043,2025-11-03,Ventolin,8,94.99,Respiratory,66.49
1044,2025-05-15,Nexium,1,98.38,Gastrointestinal,68.87
1045,2025-01-21,Lipitor,9,92.84,Cholesterol,64.99
1046,2025-11-25,Nexium,6,108.37,Gastrointestinal,75.86
1047,2025-06-16,Insulin,4,43.24,Diabetes,30.27
1048,2025-10-01,Ventolin,9,81.73,Respiratory,57.21
1049,2025-03-30,Ventolin,5,24.59,Respiratory,17.21
1050,2025-11-12,Ventolin,5,63.83,Respiratory,44.68
1051,2025-01-14,Insulin,5,78.27,Diabetes,54.79
1052,2025-08-30,Insulin,1,101.31,Diabetes,70.92
1053,2025-09-22,Nexium,1,143.07,Gastrointestinal,100.15
1054,2025-12-12,Amoxicillin,8,94.09,Antibiotics,65.86
1055,2025-02-22,Nexium,8,114.1,Gastrointestinal,79.87
1056,2025-12-06,Lipitor,6,80.88,Cholesterol,56.62
1057,2025-04-02,Panadol,4,98.77,Analgesics,69.14
1058,2025-09-21,Ventolin,2,19.93,Respiratory,13.95
1059,2025-02-04,Amoxicillin,2,45.61,Antibiotics,31.93
1060,2025-07-25,Panadol,9,60.66,Analgesics,42.46
1061,2025-03-22,Amoxicillin,5,76.15,Antibiotics,53.3
1062,2025-02-19,Nexium,4,16.39,Gastrointestinal,11.47
1063,2025-12-26,Insulin,1,29.6,Diabetes,20.72
1064,2025-01-02,Ventolin,7,48.75,Respiratory,34.12
1065,2025-02-23,Nexium,3,146.01,Gastrointestinal,102.21
1066,2025-04-16,Panadol,6,56.39,Analgesics,39.47
1067,2025-09-17,Panadol,5,77.49,Analgesics,54.24
1068,2025-11-06,Panadol,5,37.45,Analgesics,26.22
1069,2025-07-10,Panadol,5,95.51,Analgesics,66.86
1070,2025-08-06,Panadol,1,49.3,Analgesics,34.51
1071,2025-02-13,Amoxicillin,1,38.98,Antibiotics,27.29
1072,2025-06-11,Nexium,3,82.32,Gastrointestinal,57.62
1073,2025-07-21,Ventolin,4,10.77,Respiratory,7.54
1074,2025-09-27,Insulin,5,11.07,Diabetes,7.75
1075,2025-12-17,Insulin,2,40.67,Diabetes,28.47
1076,2025-10-31,Nexium,8,15.14,Gastrointestinal,10.6
1077,2025-09-28,Nexium,2,25.12,Gastrointestinal,17.58
1078,2025-08-03,Insulin,9,57.44,Diabetes,40.21
1079,2025-09-09,Insulin,2,122.36,Diabetes,85.65
1080,2025-07-09,Amoxicillin,9,90.09,Antibiotics,63.06
1081,2025-10-23,Lipitor,7,81.77,Cholesterol,57.24
1082,2025-08-01,Ventolin,8,51.09,Respiratory,35.76
1083,2025-07-27,Panadol,2,140.45,Analgesics,98.31
1084,2025-08-25,Lipitor,7,65.58,Cholesterol,45.91
1085,2025-12-04,Nexium,6,22.19,Gastrointestinal,15.53
1086,2025-02-22,Insulin,4,96.39,Diabetes,67.47
1087,2025-10-07,Lipitor,7,25.94,Cholesterol,18.16
1088,2025-08-05,Ventolin,4,58.33,Respiratory,40.83
1089,2025-09-09,Nexium,2,81.04,Gastrointestinal,56.73
1090,2025-07-07,Panadol,7,132.39,Analgesics,92.67
1091,2025-02-10,Panadol,8,79.1,Analgesics,55.37
1092,2025-06-06,Ventolin,2,108.32,Respiratory,75.82
1093,2025-01-15,Ventolin,5,148.99,Respiratory,104.29
1094,2025-10-28,Insulin,1,28.41,Diabetes,19.89
1095,2025-03-06,Panadol,7,48.46,Analgesics,33.92
1096,2025-12-11,Nexium,8,65.24,Gastrointestinal,45.67
1097,2025-11-23,Lipitor,6,69.06,Cholesterol,48.34
1098,2025-01-09,Nexium,5,67.54,Gastrointestinal,47.28
1099,2025-12-10,Amoxicillin,6,137.07,Antibiotics,95.95
1100,2025-05-09,Amoxicillin,2,109.96,Antibiotics,76.97
1101,2025-05-16,Ventolin,1,95.11,Respiratory,66.58
1102,2025-03-04,Insulin,7,53.31,Diabetes,37.32
1103,2025-05-19,Amoxicillin,7,125.33,Antibiotics,87.73
1104,2025-03-22,Panadol,2,143.71,Analgesics,100.6
1105,2025-06-12,Nexium,2,124.97,Gastrointestinal,87.48
1106,2025-10-16,Nexium,1,10.22,Gastrointestinal,7.15
1107,2025-09-18,Ventolin,8,99.1,Respiratory,69.37
1108,2025-08-19,Lipitor,8,17.16,Cholesterol,12.01
1109,2025-02-10,Ventolin,1,46.07,Respiratory,32.25
1110,2025-01-28,Lipitor,8,18.33,Cholesterol,12.83
1111,2025-05-15,Ventolin,9,94.53,Respiratory,66.17
1112,2025-07-20,Ventolin,4,106.12,Respiratory,74.28
1113,2025-11-24,Ventolin,1,26.03,Respiratory,18.22
1114,2025-09-25,Lipitor,1,63.74,Cholesterol,44.62
1115,2025-02-02,Lipitor,3,73.87,Cholesterol,51.71
1116,2025-02-17,Ventolin,5,61.67,Respiratory,43.17
1117,2025-03-03,Amoxicillin,5,26.94,Antibiotics,18.86
1118,2025-08-04,Insulin,9,68.65,Diabetes,48.06
1119,2025-10-20,Insulin,2,115.16,Diabetes,80.61
1120,2025-04-09,Insulin,2,19.94,Diabetes,13.96
1121,2025-06-21,Lipitor,6,21.23,Cholesterol,14.86
1122,2025-12-26,Lipitor,9,59.67,Cholesterol,41.77
1123,2025-08-02,Amoxicillin,1,141.84,Antibiotics,99.29
1124,2025-02-04,Insulin,9,103.6,Diabetes,72.52
1125,2025-08-15,Insulin,9,105.01,Diabetes,73.51
1126,2025-04-11,Ventolin,9,60.67,Respiratory,42.47
1127,2025-05-11,Lipitor,5,93.11,Cholesterol,65.18
1128,2025-09-14,Insulin,9,11.42,Diabetes,7.99
1129,2025-01-05,Nexium,4,99.05,Gastrointestinal,69.33
1130,2025-08-06,Amoxicillin,2,137.86,Antibiotics,96.5
1131,2025-09-12,Nexium,6,95.76,Gastrointestinal,67.03
1132,2025-12-25,Nexium,4,132.32,Gastrointestinal,92.62
1133,2025-10-10,Amoxicillin,6,111.36,Antibiotics,77.95
1134,2025-07-26,Nexium,3,26.88,Gastrointestinal,18.82
1135,2025-01-15,Insulin,6,136.34,Diabetes,95.44
1136,2025-12-12,Lipitor,2,19.3,Cholesterol,13.51
1137,2025-02-11,Amoxicillin,2,84.76,Antibiotics,59.33
1138,2025-06-28,Ventolin,9,29.9,Respiratory,20.93
1139,2025-03-04,Nexium,7,11.64,Gastrointestinal,8.15
1140,2025-12-18,Amoxicillin,3,69.08,Antibiotics,48.36
1141,2025-08-19,Panadol,1,51.31,Analgesics,35.92
1142,2025-08-29,Panadol,8,78.04,Analgesics,54.63
1143,2025-02-21,Lipitor,6,90.81,Cholesterol,63.57
1144,2025-04-06,Insulin,7,16.12,Diabetes,11.28
1145,2025-08-10,Lipitor,9,27.22,Cholesterol,19.05
1146,2025-08-19,Lipitor,5,88.21,Cholesterol,61.75
1147,2025-08-25,Lipitor,1,58.04,Cholesterol,40.63
1148,2025-05-23,Lipitor,7,112.08,Cholesterol,78.46
1149,2025-06-20,Ventolin,5,101.32,Respiratory,70.92
1150,2025-01-29,Ventolin,3,128.38,Respiratory,89.87
1151,2025-02-05,Amoxicillin,9,106.95,Antibiotics,74.86
1152,2025-01-13,Panadol,1,70.19,Analgesics,49.13
1153,2025-06-09,Lipitor,1,104.22,Cholesterol,72.95
1154,2025-11-23,Amoxicillin,1,48.55,Antibiotics,33.98
1155,2025-07-06,Panadol,3,52.88,Analgesics,37.02
1156,2025-08-31,Nexium,6,120.46,Gastrointestinal,84.32
1157,2025-03-27,Insulin,3,72.5,Diabetes,50.75
1158,2025-10-11,Ventolin,8,121.77,Respiratory,85.24
1159,2025-03-07,Nexium,2,125.14,Gastrointestinal,87.6
1160,2025-06-19,Panadol,9,130.06,Analgesics,91.04
1161,2025-02-14,Nexium,3,138.33,Gastrointestinal,96.83
1162,2025-03-03,Insulin,5,70.34,Diabetes,49.24
1163,2025-05-14,Panadol,8,54.64,Analgesics,38.25
1164,2025-10-11,Nexium,2,91.51,Gastrointestinal,64.06
1165,2025-01-28,Ventolin,6,61.96,Respiratory,43.37
1166,2025-04-18,Ventolin,5,94.15,Respiratory,65.9
1167,2025-02-13,Amoxicillin,9,108.78,Antibiotics,76.15
1168,2025-12-06,Nexium,5,106.38,Gastrointestinal,74.47
1169,2025-10-13,Lipitor,2,62.44,Cholesterol,43.71
1170,2025-11-27,Nexium,5,33.36,Gastrointestinal,23.35
1171,2025-05-08,Panadol,4,70.27,Analgesics,49.19
1172,2025-12-14,Panadol,7,29.96,Analgesics,20.97
1173,2025-08-19,Nexium,6,134.61,Gastrointestinal,94.23
1174,2025-07-09,Insulin,2,58.42,Diabetes,40.89
1175,2025-08-13,Ventolin,5,31.62,Respiratory,22.13
1176,2025-10-10,Panadol,7,13.56,Analgesics,9.49
1177,2025-05-01,Ventolin,7,100.42,Respiratory,70.29
1178,2025-04-26,Panadol,5,99.17,Analgesics,69.42
1179,2025-08-21,Amoxicillin,9,57.68,Antibiotics,40.38
1180,2025-09-16,Lipitor,4,20.04,Cholesterol,14.03
1181,2025-12-25,Panadol,3,67.35,Analgesics,47.14
1182,2025-07-17,Ventolin,4,53.57,Respiratory,37.5
1183,2025-05-17,Amoxicillin,5,104.8,Antibiotics,73.36
